Round,Court 1,Court 2,Court 3,Court 4,Rest
1,"(1, 2) vs (3, 4)","(6, 7) vs (8, 10)","(11, 12) vs (13, 14)","(15, 16) vs (17, 18)","{5, 9, 19, 20, 21, 22, 23, 24}"
2,"(1, 3) vs (5, 6)","(2, 10) vs (8, 9)","(18, 19) vs (17, 24)","(20, 21) vs (22, 23)","{4, 7, 11, 12, 13, 14, 15, 16}"
3,"(4, 5) vs (7, 8)","(9, 10) vs (11, 13)","(12, 14) vs (15, 17)","(16, 18) vs (19, 20)","{1, 2, 3, 6, 21, 22, 23, 24}"
4,"(1, 4) vs (2, 3)","(5, 7) vs (6, 9)","(11, 14) vs (12, 13)","(21, 22) vs (23, 24)","{8, 10, 15, 16, 17, 18, 19, 20}"
5,"(1, 5) vs (3, 6)","(13, 16) vs (14, 15)","(11, 24) vs (12, 23)","(19, 21) vs (20, 22)","{2, 4, 7, 8, 9, 10, 17, 18}"
6,"(2, 4) vs (6, 8)","(7, 9) vs (10, 11)","(15, 18) vs (16, 17)","(19, 22) vs (20, 23)","{1, 3, 5, 12, 13, 14, 21, 24}"
7,"(2, 5) vs (1, 7)","(3, 8) vs (4, 9)","(10, 14) vs (15, 19)","(21, 23) vs (22, 24)","{6, 11, 12, 13, 16, 17, 18, 20}"
8,"(1, 6) vs (2, 8)","(9, 13) vs (10, 12)","(14, 16) vs (17, 19)","(18, 20) vs (21, 24)","{3, 4, 5, 7, 11, 15, 22, 23}"
9,"(3, 5) vs (4, 6)","(7, 11) vs (12, 15)","(13, 17) vs (14, 22)","(16, 20) vs (18, 21)","{1, 2, 8, 9, 10, 19, 23, 24}"
10,"(1, 8) vs (2, 9)","(3, 10) vs (4, 11)","(5, 12) vs (13, 15)","(19, 23) vs (20, 24)","{6, 7, 14, 16, 17, 18, 21, 22}"
11,"(3, 7) vs (2, 11)","(14, 17) vs (16, 19)","(12, 24) vs (13, 23)","(15, 21) vs (18, 22)","{1, 4, 5, 6, 8, 9, 10, 20}"
12,"(2, 6) vs (1, 9)","(4, 7) vs (5, 8)","(10, 16) vs (12, 21)","(17, 20) vs (18, 23)","{3, 11, 13, 14, 15, 19, 22, 24}"
